run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_07b9d213a6c2,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_training_datasets,depthdark_training_datasets,proposition-to-chunk,baseline,1000,50,966,50,16,0.3333333333333333,0.5,0.4,0.5,0.0,0.02,0.0,0.4140786749482402,hypersim,hypersim,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_07b9d213a6c2.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_12a045212c61,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_ablation_components,depthdark_ablation_components,proposition-to-chunk,baseline,1000,50,966,50,16,0.2,0.5,0.28571428571428575,0.5,0.5,0.1,0.1875,0.29577048210588586,llpeft,llpeft,llpeft,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_12a045212c61.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_210233c8db41,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_eval_datasets,depthdark_eval_datasets,proposition-to-chunk,baseline,500,50,499,50,8,0.5,1.0,0.6666666666666666,1.0,1.0,0.14,0.25,1.336005344021376,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_210233c8db41.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_23437447f34a,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_contributions,depthdark_contributions,proposition-to-chunk,baseline,1500,50,1498,50,26,1.0,0.8571428571428571,0.923076923076923,0.8571428571428571,0.8571428571428571,0.96,0.9230769230769231,0.6162062236828592,"depthdark_model,flare_simulation_module,illumination_guidance,low_light_peft,multiscale_feature_fusion,noise_simulation_module","depthdark_model,flare_simulation_module,illumination_guidance,low_light_peft,multiscale_feature_fusion,noise_simulation_module","depthdark_model,flare_simulation_module,illumination_guidance,low_light_peft,multiscale_feature_fusion,noise_simulation_module",E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_23437447f34a.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_2483e9ca520f,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_ablation_components,depthdark_ablation_components,proposition-to-chunk,baseline,1500,50,1475,50,25,0.2,0.5,0.28571428571428575,0.5,0.5,0.1,0.16,0.19370460048426152,llpeft,llpeft,llpeft,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_2483e9ca520f.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_445ba82e1e1b,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_training_datasets,depthdark_training_datasets,proposition-to-chunk,baseline,1500,50,1475,50,25,0.3333333333333333,0.5,0.4,0.5,0.0,0.02,0.0,0.2711864406779661,hypersim,hypersim,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_445ba82e1e1b.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_4745a625d381,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,proposition-to-chunk,baseline,1500,50,1488,50,25,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.14,0.12,0.22401433691756273,"depth_anything,depth_anything_v2","adds,depth_anything,depth_anything_v2,tddc","adds,depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_4745a625d381.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_4ad76a2fb066,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_training_datasets,depthdark_training_datasets,proposition-to-chunk,baseline,500,50,499,50,8,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,,hypersim,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_4ad76a2fb066.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_50b2a1987cb3,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,500,50,488,50,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_50b2a1987cb3.json
qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_577dc1816c6b,qa_chunkaware_dedup_m500_v1_proposition-to-chunk_depthdark_eval_datasets,depthdark_eval_datasets,proposition-to-chunk,baseline,1000,50,966,50,16,0.5,1.0,0.6666666666666666,1.0,1.0,0.14,0.1875,0.6901311249137336,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_m500_v1_proposition-to-chunk_ask_baseline_none_577dc1816c6b.json
