question_id,granularity,variant,query_used,hit_count,top_score,first_gold_alias_rank,first_evidence_page_rank,gold_alias_hit_count,evidence_page_hit_count,title_junk_count,title_junk_rate,overlap_with_title_only,matched_gold_ids_top_m,matched_evidence_refs_top_m
always_clear_depth_contributions,chunk,original,Always Clear Depth 论文的主要贡献包括哪些？,100,0.7225103378295898,,,0,0,0,0.0,0.07,,
always_clear_depth_contributions,chunk,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,2,,4,0,0,0.0,1.0,"acdepth_framework,multi_granularity_knowledge_distillation",
always_clear_depth_contributions,chunk,content_only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,100,0.9296647310256958,1,,6,0,0,0.0,0.66,"acdepth_framework,multi_granularity_knowledge_distillation,ordinal_guidance_distillation",
always_clear_depth_contributions,chunk,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_contributions,sentence,original,Always Clear Depth 论文的主要贡献包括哪些？,100,0.7555978298187256,,,0,0,0,0.0,0.01,,
always_clear_depth_contributions,sentence,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,2,,2,0,0,0.0,1.0,acdepth_framework,
always_clear_depth_contributions,sentence,content_only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,100,0.8920290470123291,2,,4,0,0,0.0,0.57,"acdepth_framework,multi_tuple_degradation_dataset_generation",
always_clear_depth_contributions,sentence,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_contributions,proposition,original,Always Clear Depth 论文的主要贡献包括哪些？,100,0.7555978298187256,,7,0,25,90,0.9,0.0,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,proposition,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9754859209060669,6,4,2,2,0,0.0,1.0,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,proposition,content_only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,100,0.8992327451705933,3,4,2,3,0,0.0,0.73,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
