run_id,run_label,question_id,query,strategy,compression,compression_stage,top_k,budget,context_tokens,original_context_tokens,selected_chunk_count,retrieved_chunk_count,retrieved_gold_recall,selected_gold_recall,retrieved_gold_ids,selected_gold_ids,selected_missing_gold_ids,precision,recall,f1,true_positive,false_positive,false_negative,matched_gold_ids,missing_gold_ids,extra_predicted_ids,details_path
ask_baseline_llmlingua2_36417d1ea227,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,800,468,789,9,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.6666666666666666,0.4,0.5,2,1,3,"always_clear_depth,robust_challenging_conditions","depthdark,led,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_36417d1ea227.json
ask_baseline_llmlingua2_64214b2eaa13,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,3000,1657,2999,32,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.5,0.4,0.4444444444444445,2,2,3,"depthdark,robust_challenging_conditions","always_clear_depth,led,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_64214b2eaa13.json
ask_baseline_llmlingua2_9102af3ec2bf,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,300,169,290,3,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.3333333333333333,0.2,0.25,1,2,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,synthetic_to_real_motion_structure",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_9102af3ec2bf.json
ask_baseline_llmlingua2_after-allocation_deffd579706c,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,3000,1657,2999,32,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.3333333333333333,0.2,0.25,1,2,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_after-allocation_deffd579706c.json
ask_baseline_llmlingua2_b465bac624fa,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,5000,2651,4853,49,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.7142857142857143,1.0,0.8333333333333333,5,2,0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,"monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_b465bac624fa.json
ask_baseline_llmlingua2_before-allocation_a2e5106eb753,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,3000,2736,5007,50,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.6,0.6,0.6,3,2,2,"depthdark,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_before-allocation_a2e5106eb753.json
ask_baseline_llmlingua2_before-allocation_e68dabdd1c8b,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,500,497,847,9,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.5,0.2,0.28571428571428575,1,1,4,robust_challenging_conditions,"always_clear_depth,depthdark,led,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_before-allocation_e68dabdd1c8b.json
ask_baseline_llmlingua2_before-allocation_e8baf05701c1,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,1500,1496,2694,29,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.3333333333333333,0.2,0.25,1,2,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_before-allocation_e8baf05701c1.json
ask_baseline_llmlingua2_d8a69833dfe3,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,500,296,498,5,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",jasmine,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_d8a69833dfe3.json
ask_baseline_llmlingua2_e4464c99f929,,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,1000,571,990,11,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.5,0.2,0.28571428571428575,1,1,4,towards_data_distribution_compensation,"always_clear_depth,depthdark,led,robust_challenging_conditions",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_e4464c99f929.json
