run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_09920781928e,qa_parent_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,1000,50,237,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_09920781928e.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_19ab64f24578,qa_parent_v1_proposition-to-chunk_always_clear_depth_contributions,always_clear_depth_contributions,proposition-to-chunk,baseline,1000,50,982,33,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_19ab64f24578.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_331ceb2e0c32,qa_parent_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,1500,50,237,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_331ceb2e0c32.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_35fb74bef543,qa_parent_v1_proposition-to-chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition-to-chunk,baseline,500,50,476,48,7,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0625,0.14285714285714285,0.0,,"adids,monodepth2,rnw",monodepth2,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_35fb74bef543.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_3edbc273a5e8,qa_parent_v1_proposition-to-chunk_always_clear_depth_contributions,always_clear_depth_contributions,proposition-to-chunk,baseline,1500,50,1450,33,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_3edbc273a5e8.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_682c40c540ed,qa_parent_v1_proposition-to-chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition-to-chunk,baseline,1000,50,123,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_682c40c540ed.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_6893ce5d0afd,qa_parent_v1_proposition-to-chunk_always_clear_depth_contributions,always_clear_depth_contributions,proposition-to-chunk,baseline,500,50,485,33,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_6893ce5d0afd.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_807fce3d3fd8,qa_parent_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,500,50,237,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_807fce3d3fd8.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_851113ba40d8,qa_parent_v1_proposition-to-chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition-to-chunk,baseline,1000,50,986,48,14,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0625,0.14285714285714285,0.0,,"adids,monodepth2,rnw",monodepth2,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_851113ba40d8.json
qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_935a8187934a,qa_parent_v1_proposition-to-chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition-to-chunk,baseline,500,50,123,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_parent_v1_proposition-to-chunk_always_clear_d_ask_baseline_none_935a8187934a.json
