question_id,query_mode,query_used,granularity,strategy,budget,fine_top_m,parent_top_k,parent_candidate_count,selected_count,context_tokens,parent_candidate_gold_recall,parent_candidate_evidence_recall,selected_gold_recall,selected_evidence_recall,first_gold_parent_rank,first_evidence_parent_rank,selected_first_gold_parent_rank,selected_first_evidence_parent_rank,parent_candidate_gold_ids,parent_candidate_evidence_refs,selected_gold_ids,selected_evidence_refs,missing_selected_gold_ids,missing_selected_evidence_refs
always_clear_depth_contributions,original,Always Clear Depth 论文的主要贡献包括哪些？,sentence-to-chunk,baseline,500,150,50,50,4,469,0.0,0.0,0.0,0.0,,,,,,,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,original,Always Clear Depth 论文的主要贡献包括哪些？,sentence-to-chunk,baseline,1000,150,50,50,8,977,0.0,0.0,0.0,0.0,,,,,,,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,original,Always Clear Depth 论文的主要贡献包括哪些？,sentence-to-chunk,baseline,1500,150,50,50,15,1467,0.0,0.0,0.0,0.0,,,,,,,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,original,Always Clear Depth 论文的主要贡献包括哪些？,proposition-to-chunk,baseline,500,150,50,33,9,485,0.0,0.0,0.0,0.0,,,,,,,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,original,Always Clear Depth 论文的主要贡献包括哪些？,proposition-to-chunk,baseline,1000,150,50,33,14,982,0.0,0.0,0.0,0.0,,,,,,,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,original,Always Clear Depth 论文的主要贡献包括哪些？,proposition-to-chunk,baseline,1500,150,50,33,21,1450,0.0,0.0,0.0,0.0,,,,,,,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_eval_datasets,original,Always Clear Depth 在哪些数据集上进行了实验评估？,sentence-to-chunk,baseline,500,150,50,50,4,470,0.0,0.0,0.0,0.0,,,,,,,,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,original,Always Clear Depth 在哪些数据集上进行了实验评估？,sentence-to-chunk,baseline,1000,150,50,50,11,993,0.0,0.0,0.0,0.0,,,,,,,,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,original,Always Clear Depth 在哪些数据集上进行了实验评估？,sentence-to-chunk,baseline,1500,150,50,50,17,1461,0.0,0.0,0.0,0.0,,,,,,,,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,original,Always Clear Depth 在哪些数据集上进行了实验评估？,proposition-to-chunk,baseline,500,150,50,2,2,123,0.0,0.0,0.0,0.0,,,,,,,,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
