experiment,run_label,query,metric,value,notes,prompt_tokens,completion_tokens,total_tokens,context_tokens,original_context_tokens,compression,compression_stage,compression_ratio,selected_chunk_count,retrieved_chunk_count,context_utilization,invalid_citation_count,top_k,budget,strategy,run_id,details_path,model
ask_dynamic,,有哪些使用了diffusion的论文,citation_count,6,context_utilization=0.625,1229,442,1671,,,,,,,,0.625,,,,,,,MiniMax-M2.7
ask_dynamic,,有哪些使用了diffusion的论文,citation_count,29,context_utilization=0.500,2960,652,3612,,,,,,,,0.500,,,,,,,MiniMax-M2.7
ask_dynamic,,有哪些使用了diffusion的论文,citation_count,29,context_utilization=0.950,2962,1024,3986,,,,,,,,0.950,,,,,,,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,6,context_utilization=1.000,600,689,1289,490,,,,,2,20,1.0,,20,500,baseline,ask_baseline_0694feb496c0,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_0694feb496c0.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,14,context_utilization=1.000,600,658,1258,490,,,,,2,20,1.0,,20,500,baseline,ask_baseline_00c6be8b99dc,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_00c6be8b99dc.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,9,context_utilization=1.000,600,552,1152,490,,,,,2,20,1.0,,20,500,baseline,ask_baseline_8cdfe588f3fe,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_8cdfe588f3fe.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,9,context_utilization=1.000,1062,526,1588,961,,,,,4,20,1.0,,20,1000,baseline,ask_baseline_631fa99a5e28,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_631fa99a5e28.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,16,context_utilization=1.000,1564,741,2305,1470,,,,,6,20,1.0,,20,1500,baseline,ask_baseline_5409870af8fa,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_5409870af8fa.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,11,context_utilization=1.000,2086,764,2850,1965,,,,,8,20,1.0,,20,2000,baseline,ask_baseline_323b71b1fc42,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_323b71b1fc42.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,17,context_utilization=0.750,3082,863,3945,2918,,,,,12,20,0.75,,20,3000,baseline,ask_baseline_79edc58b958f,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_79edc58b958f.json,MiniMax-M2.7
