run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_0eac1b880461,sage_semantic_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,300,50,297,50,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_0eac1b880461.json
sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_64d183ab8858,sage_semantic_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,500,50,499,50,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_64d183ab8858.json
sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_7e481839af80,sage_semantic_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1500,50,1497,50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_7e481839af80.json
sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_f646f06765ff,sage_semantic_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1000,50,997,50,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_ablati_ask_baseline_none_f646f06765ff.json
sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_1204f477db36,sage_semantic_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,300,50,296,50,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_1204f477db36.json
sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_32e546637c4a,sage_semantic_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1000,50,995,50,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_32e546637c4a.json
sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_8c76c0d3edbb,sage_semantic_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,500,50,491,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_8c76c0d3edbb.json
sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_e14b0a40323d,sage_semantic_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1500,50,1499,50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_contri_ask_baseline_none_e14b0a40323d.json
sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_6988259f7cc1,sage_semantic_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,1000,50,999,50,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_6988259f7cc1.json
sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_b27e0a85bf12,sage_semantic_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,500,50,496,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_b27e0a85bf12.json
sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_bb36776084d6,sage_semantic_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,300,50,300,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_bb36776084d6.json
sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_d0f2f4e517d3,sage_semantic_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,1500,50,1495,50,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_eval_d_ask_baseline_none_d0f2f4e517d3.json
sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_1398d5f0d47b,sage_semantic_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1000,50,998,50,14,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_1398d5f0d47b.json
sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_1dcf1d6e2b41,sage_semantic_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1500,50,1499,50,22,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_1dcf1d6e2b41.json
sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_b19969771135,sage_semantic_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,500,50,482,50,7,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_b19969771135.json
sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_d079dec1ff4e,sage_semantic_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,300,50,255,50,4,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_chunk_always_clear_depth_sota_c_ask_baseline_none_d079dec1ff4e.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_17c7104c9496,sage_semantic_v1_semantic_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,semantic_chunk,baseline,1500,50,1466,50,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_17c7104c9496.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_45afab836717,sage_semantic_v1_semantic_chunk_always_clear_depth_contributions,always_clear_depth_contributions,semantic_chunk,baseline,300,50,300,50,2,0.0,0.0,0.0,0.25,0.0,0.02,0.0,0.0,,acdepth_framework,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_45afab836717.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_5e23ea3c0bcf,sage_semantic_v1_semantic_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,semantic_chunk,baseline,1500,50,1498,50,6,0.0,0.0,0.0,0.2222222222222222,0.0,0.04,0.0,0.0,,"adids,monodepth2",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_5e23ea3c0bcf.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7c1fcffc112d,sage_semantic_v1_semantic_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,semantic_chunk,baseline,300,50,300,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7c1fcffc112d.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7c9363922fdd,sage_semantic_v1_semantic_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,semantic_chunk,baseline,1000,50,978,50,4,0.0,0.0,0.0,0.2222222222222222,0.0,0.04,0.0,0.0,,"adids,monodepth2",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7c9363922fdd.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7d554e5e847b,sage_semantic_v1_semantic_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,semantic_chunk,baseline,300,50,300,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7d554e5e847b.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7e6a6c707536,sage_semantic_v1_semantic_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,semantic_chunk,baseline,500,50,489,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_7e6a6c707536.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_86ce3d99c39e,sage_semantic_v1_semantic_chunk_always_clear_depth_contributions,always_clear_depth_contributions,semantic_chunk,baseline,1000,50,987,50,8,0.0,0.0,0.0,0.25,0.0,0.02,0.0,0.0,,acdepth_framework,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_86ce3d99c39e.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_9200f50b40c8,sage_semantic_v1_semantic_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,semantic_chunk,baseline,1000,50,981,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_9200f50b40c8.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_920160c0bdc3,sage_semantic_v1_semantic_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,semantic_chunk,baseline,500,50,489,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_920160c0bdc3.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_a609bfa31bd4,sage_semantic_v1_semantic_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,semantic_chunk,baseline,300,50,284,50,3,0.0,0.0,0.0,0.2222222222222222,0.0,0.04,0.0,0.0,,"adids,monodepth2",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_a609bfa31bd4.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_a8c099842a96,sage_semantic_v1_semantic_chunk_always_clear_depth_contributions,always_clear_depth_contributions,semantic_chunk,baseline,500,50,489,50,5,0.0,0.0,0.0,0.25,0.0,0.02,0.0,0.0,,acdepth_framework,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_a8c099842a96.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_bf0a7ed18e8d,sage_semantic_v1_semantic_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,semantic_chunk,baseline,1000,50,978,50,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_bf0a7ed18e8d.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_d085ed753b5b,sage_semantic_v1_semantic_chunk_always_clear_depth_contributions,always_clear_depth_contributions,semantic_chunk,baseline,1500,50,1482,50,9,0.0,0.0,0.0,0.25,0.0,0.02,0.0,0.0,,acdepth_framework,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_d085ed753b5b.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_f8149e5c6e5b,sage_semantic_v1_semantic_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,semantic_chunk,baseline,500,50,475,50,3,0.0,0.0,0.0,0.2222222222222222,0.0,0.04,0.0,0.0,,"adids,monodepth2",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_f8149e5c6e5b.json
sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_fdd5ac30eb78,sage_semantic_v1_semantic_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,semantic_chunk,baseline,1500,50,1498,50,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_v1_semantic_chunk_always_clear_dep_ask_baseline_none_fdd5ac30eb78.json
