run_id,run_label,question_id,query,strategy,compression,compression_stage,top_k,budget,context_tokens,original_context_tokens,selected_chunk_count,retrieved_chunk_count,retrieved_gold_recall,selected_gold_recall,retrieved_gold_ids,selected_gold_ids,selected_missing_gold_ids,precision,recall,f1,true_positive,false_positive,false_negative,matched_gold_ids,missing_gold_ids,extra_predicted_ids,details_path
rerun_f1zero_ask_baseline_llmlingua2_after-allocation_257b072271d8,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,2000,1125,1959,20,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.5,0.4,0.4444444444444445,2,2,3,"depthdark,robust_challenging_conditions","always_clear_depth,led,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_after-allocation_257b072271d8.json
rerun_f1zero_ask_baseline_llmlingua2_after-allocation_3eb16dbd95aa,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,2000,1125,1959,20,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.3333333333333333,0.2,0.25,1,2,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_after-allocation_3eb16dbd95aa.json
rerun_f1zero_ask_baseline_llmlingua2_after-allocation_622e6cfff488,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,1500,867,1488,15,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.6666666666666666,0.4,0.5,2,1,3,"always_clear_depth,depthdark","led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_after-allocation_622e6cfff488.json
rerun_f1zero_ask_baseline_llmlingua2_after-allocation_95bc7fe49f8c,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,500,296,498,5,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_after-allocation_95bc7fe49f8c.json
rerun_f1zero_ask_baseline_llmlingua2_after-allocation_f78c8e7fe33f,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,1000,571,990,11,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.5,0.2,0.28571428571428575,1,1,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_after-allocation_f78c8e7fe33f.json
rerun_f1zero_ask_baseline_llmlingua2_before-allocation_2367bf5fc100,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,2000,2000,3630,39,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.3333333333333333,0.2,0.25,1,2,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_before-allocation_2367bf5fc100.json
rerun_f1zero_ask_baseline_llmlingua2_before-allocation_3d8a24a35cb6,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,1000,990,1721,18,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.3333333333333333,0.2,0.25,1,2,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_llmlingua2_before-allocation_3d8a24a35cb6.json
rerun_f1zero_ask_baseline_none_165d6104a7db,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,none,none,50,1000,990,990,11,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.75,0.6,0.6666666666666665,3,1,2,"always_clear_depth,depthdark,robust_challenging_conditions","led,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_none_165d6104a7db.json
rerun_f1zero_ask_baseline_none_7787095327cd,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,none,none,50,500,498,498,5,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_none_7787095327cd.json
rerun_f1zero_ask_baseline_none_e0ddfc3cc49f,rerun_f1zero,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,none,none,50,300,290,290,3,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/rerun_f1zero_ask_baseline_none_e0ddfc3cc49f.json
