run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
qa_v2_chunk_always_clear_depth_ablation_componen_ask_baseline_none_7459a01fdc3f,qa_v2_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1000,50,987,50,15,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,distillation_learning,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_ablation_componen_ask_baseline_none_7459a01fdc3f.json
qa_v2_chunk_always_clear_depth_ablation_componen_ask_baseline_none_ab89d359f7d6,qa_v2_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1500,50,1495,50,23,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.02,0.043478260869565216,0.0,,distillation_learning,distillation_learning,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_ablation_componen_ask_baseline_none_ab89d359f7d6.json
qa_v2_chunk_always_clear_depth_ablation_componen_ask_baseline_none_e0daf1a426f6,qa_v2_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,500,50,493,50,8,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,distillation_learning,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_ablation_componen_ask_baseline_none_e0daf1a426f6.json
qa_v2_chunk_always_clear_depth_contributions_ask_baseline_none_59b2a0d97e8e,qa_v2_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,500,50,474,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_contributions_ask_baseline_none_59b2a0d97e8e.json
qa_v2_chunk_always_clear_depth_contributions_ask_baseline_none_6d92affc4579,qa_v2_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1000,50,975,50,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_contributions_ask_baseline_none_6d92affc4579.json
qa_v2_chunk_always_clear_depth_contributions_ask_baseline_none_c4e3dee71bd5,qa_v2_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1500,50,1495,50,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_contributions_ask_baseline_none_c4e3dee71bd5.json
qa_v2_chunk_always_clear_depth_eval_datasets_ask_baseline_none_8a17cceda787,qa_v2_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,1500,50,1493,50,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_eval_datasets_ask_baseline_none_8a17cceda787.json
qa_v2_chunk_always_clear_depth_eval_datasets_ask_baseline_none_9c98b938502b,qa_v2_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,1000,50,977,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_eval_datasets_ask_baseline_none_9c98b938502b.json
qa_v2_chunk_always_clear_depth_eval_datasets_ask_baseline_none_9efae4e55a69,qa_v2_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,500,50,493,50,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_eval_datasets_ask_baseline_none_9efae4e55a69.json
qa_v2_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_45b42d690f51,qa_v2_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,500,50,487,50,7,0.0,0.0,0.0,0.4444444444444444,0.0,0.06,0.0,0.0,,"adids,md4all_dd,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_45b42d690f51.json
qa_v2_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_9237cd254c60,qa_v2_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1500,50,1485,50,22,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.06,0.045454545454545456,0.0,,"adids,md4all_dd,rnw,wsgd",md4all_dd,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_9237cd254c60.json
qa_v2_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_f3bede00d921,qa_v2_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1000,50,974,50,15,0.0,0.0,0.0,0.4444444444444444,0.0,0.06,0.0,0.0,,"adids,md4all_dd,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_f3bede00d921.json
qa_v2_chunk_depthdark_ablation_components_ask_baseline_none_319ac7c54caa,qa_v2_chunk_depthdark_ablation_components,depthdark_ablation_components,chunk,baseline,1000,50,999,50,14,1.0,1.0,1.0,1.0,1.0,0.1,0.21428571428571427,1.001001001001001,"lldg,llpeft","lldg,llpeft","lldg,llpeft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_ablation_components_ask_baseline_none_319ac7c54caa.json
qa_v2_chunk_depthdark_ablation_components_ask_baseline_none_583df52bc036,qa_v2_chunk_depthdark_ablation_components,depthdark_ablation_components,chunk,baseline,1500,50,1489,50,17,0.5,1.0,0.6666666666666666,1.0,1.0,0.1,0.17647058823529413,0.44772778150884257,"lldg,llpeft","lldg,llpeft","lldg,llpeft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_ablation_components_ask_baseline_none_583df52bc036.json
qa_v2_chunk_depthdark_ablation_components_ask_baseline_none_f18222c7bda5,qa_v2_chunk_depthdark_ablation_components,depthdark_ablation_components,chunk,baseline,500,50,487,50,7,0.5,0.5,0.5,1.0,0.5,0.1,0.14285714285714285,1.026694045174538,lldg,"lldg,llpeft",lldg,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_ablation_components_ask_baseline_none_f18222c7bda5.json
qa_v2_chunk_depthdark_contributions_ask_baseline_none_9125dd9c314f,qa_v2_chunk_depthdark_contributions,depthdark_contributions,chunk,baseline,1500,50,1497,50,18,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.42857142857142855,0.4,0.8888888888888888,0.3643650938240116,"depthdark_model,low_light_data_generation,low_light_peft","depthdark_model,flare_simulation_module,low_light_data_generation,low_light_peft,noise_simulation_module","depthdark_model,low_light_data_generation,low_light_peft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_contributions_ask_baseline_none_9125dd9c314f.json
qa_v2_chunk_depthdark_contributions_ask_baseline_none_b38245e4297e,qa_v2_chunk_depthdark_contributions,depthdark_contributions,chunk,baseline,1000,50,976,50,11,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.42857142857142855,0.4,0.9090909090909091,0.5588673621460507,"depthdark_model,low_light_data_generation,low_light_peft","depthdark_model,flare_simulation_module,low_light_data_generation,low_light_peft,noise_simulation_module","depthdark_model,low_light_data_generation,low_light_peft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_contributions_ask_baseline_none_b38245e4297e.json
qa_v2_chunk_depthdark_contributions_ask_baseline_none_b603a827adfb,qa_v2_chunk_depthdark_contributions,depthdark_contributions,chunk,baseline,500,50,479,50,6,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.42857142857142855,0.4,0.8333333333333334,1.1387360030366294,"depthdark_model,low_light_data_generation,low_light_peft","depthdark_model,flare_simulation_module,low_light_data_generation,low_light_peft,noise_simulation_module","depthdark_model,low_light_data_generation,low_light_peft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_contributions_ask_baseline_none_b603a827adfb.json
qa_v2_chunk_depthdark_eval_datasets_ask_baseline_none_3e917fac9ebd,qa_v2_chunk_depthdark_eval_datasets,depthdark_eval_datasets,chunk,baseline,500,50,472,50,6,0.5,1.0,0.6666666666666666,1.0,1.0,0.18,0.5,1.4124293785310735,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_eval_datasets_ask_baseline_none_3e917fac9ebd.json
qa_v2_chunk_depthdark_eval_datasets_ask_baseline_none_5640be63be62,qa_v2_chunk_depthdark_eval_datasets,depthdark_eval_datasets,chunk,baseline,1500,50,1457,50,17,0.5,1.0,0.6666666666666666,1.0,1.0,0.18,0.35294117647058826,0.45756119881034085,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_eval_datasets_ask_baseline_none_5640be63be62.json
qa_v2_chunk_depthdark_eval_datasets_ask_baseline_none_c1e5242d849d,qa_v2_chunk_depthdark_eval_datasets,depthdark_eval_datasets,chunk,baseline,1000,50,976,50,12,0.5,1.0,0.6666666666666666,1.0,1.0,0.18,0.5,0.6830601092896175,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_eval_datasets_ask_baseline_none_c1e5242d849d.json
qa_v2_chunk_depthdark_sota_comparison_methods_ask_baseline_none_040b9006d0e5,qa_v2_chunk_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,chunk,baseline,500,50,488,50,8,0.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.26,0.25,0.0,,"adds,depth_anything,depth_anything_v2,monoformer,monovit,tddc,wsgd","depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v2_chunk_depthdark_sota_comparison_methods_ask_baseline_none_040b9006d0e5.json
