run_id,run_label,question_id,query,strategy,compression,compression_stage,top_k,budget,context_tokens,original_context_tokens,selected_chunk_count,retrieved_chunk_count,retrieved_gold_recall,selected_gold_recall,retrieved_gold_ids,selected_gold_ids,selected_missing_gold_ids,precision,recall,f1,true_positive,false_positive,false_negative,matched_gold_ids,missing_gold_ids,extra_predicted_ids,details_path
v2_ask_baseline_llmlingua2_after-allocation_67cec5614c22,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,500,296,498,5,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",synthetic_to_real_motion_structure,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_67cec5614c22.json
v2_ask_baseline_llmlingua2_after-allocation_6dda82732838,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,5000,2651,4853,49,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.3333333333333333,1.0,0.5,5,10,0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,"depth_anything,depth_anything_v2,jasmine,lite_mono,marigold,monocular_depth_estimation,monodiffusion,primedepth,ssrdepth,synthetic_to_real_motion_structure",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_6dda82732838.json
v2_ask_baseline_llmlingua2_after-allocation_6f02eaa3558c,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,800,468,789,9,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.6666666666666666,0.4,0.5,2,1,3,"always_clear_depth,robust_challenging_conditions","depthdark,led,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_6f02eaa3558c.json
v2_ask_baseline_llmlingua2_after-allocation_7b9623d822e0,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,3000,1657,2999,32,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.3333333333333333,0.2,0.25,1,2,4,depthdark,"always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_7b9623d822e0.json
v2_ask_baseline_llmlingua2_after-allocation_7bf79f473118,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,300,169,290,3,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_7bf79f473118.json
v2_ask_baseline_llmlingua2_after-allocation_abfd2e499155,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,1000,571,990,11,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.6666666666666666,0.4,0.5,2,1,3,"depthdark,robust_challenging_conditions","always_clear_depth,led,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_abfd2e499155.json
v2_ask_baseline_llmlingua2_after-allocation_d6cd12fecfd3,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,1500,867,1488,15,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.5,0.4,0.4444444444444445,2,2,3,"depthdark,robust_challenging_conditions","always_clear_depth,led,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_d6cd12fecfd3.json
v2_ask_baseline_llmlingua2_after-allocation_fda5c09fd731,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,after-allocation,50,2000,1125,1959,20,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.5,0.4,0.4444444444444445,2,2,3,"depthdark,robust_challenging_conditions","always_clear_depth,led,towards_data_distribution_compensation","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_after-allocation_fda5c09fd731.json
v2_ask_baseline_llmlingua2_before-allocation_31d1a31bec4b,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,300,296,498,5,50,1.0,0.4,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,towards_data_distribution_compensation","depthdark,led,robust_challenging_conditions",0.5,0.2,0.28571428571428575,1,1,4,always_clear_depth,"depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_before-allocation_31d1a31bec4b.json
v2_ask_baseline_llmlingua2_before-allocation_3b595747fca0,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,1000,990,1721,18,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.0,0.0,0.0,0,1,5,,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",monocular_depth_estimation,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_before-allocation_3b595747fca0.json
v2_ask_baseline_llmlingua2_before-allocation_47343351e092,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,500,497,847,9,50,1.0,0.8,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions,towards_data_distribution_compensation",depthdark,0.0,0.0,0.0,0,0,5,,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_before-allocation_47343351e092.json
v2_ask_baseline_llmlingua2_before-allocation_99378c854a86,v2,low_light_depth_papers,有哪些是实现了弱光下求深度的论文,baseline,llmlingua2,before-allocation,50,5000,2736,5007,50,50,1.0,1.0,"always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation","always_clear_depth,depthdark,led,robust_challenging_conditions,towards_data_distribution_compensation",,0.5,0.4,0.4444444444444445,2,2,3,"depthdark,towards_data_distribution_compensation","always_clear_depth,led,robust_challenging_conditions","monocular_depth_estimation,primedepth",/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/v2_ask_baseline_llmlingua2_before-allocation_99378c854a86.json
