question_id,query_mode,query_used,granularity,strategy,budget,fine_top_m,parent_top_k,parent_candidate_count,selected_count,context_tokens,parent_candidate_gold_recall,parent_candidate_evidence_recall,selected_gold_recall,selected_evidence_recall,first_gold_parent_rank,first_evidence_parent_rank,selected_first_gold_parent_rank,selected_first_evidence_parent_rank,parent_candidate_gold_ids,parent_candidate_evidence_refs,selected_gold_ids,selected_evidence_refs,missing_selected_gold_ids,missing_selected_evidence_refs
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,baseline,500,150,50,50,7,481,0.5,1.0,0.5,1.0,5,5,5,5,"acdepth_framework,multi_granularity_knowledge_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"acdepth_framework,multi_granularity_knowledge_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,baseline,1000,150,50,50,14,988,0.5,1.0,0.5,1.0,5,5,5,5,"acdepth_framework,multi_granularity_knowledge_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"acdepth_framework,multi_granularity_knowledge_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,sentence-to-chunk,baseline,1500,150,50,50,20,1465,0.5,1.0,0.5,1.0,5,5,5,5,"acdepth_framework,multi_granularity_knowledge_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"acdepth_framework,multi_granularity_knowledge_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,proposition-to-chunk,baseline,500,150,50,50,6,475,0.25,0.42857142857142855,0.0,0.0,7,7,,,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,,,"acdepth_framework,multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,proposition-to-chunk,baseline,1000,150,50,50,13,969,0.25,0.42857142857142855,0.25,0.42857142857142855,7,7,7,7,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation
always_clear_depth_contributions,content-only,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,proposition-to-chunk,baseline,1500,150,50,50,21,1466,0.25,0.42857142857142855,0.25,0.42857142857142855,7,7,7,7,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,acdepth_framework,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation,"multi_granularity_knowledge_distillation,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation
always_clear_depth_eval_datasets,content-only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,sentence-to-chunk,baseline,500,150,50,50,8,499,1.0,1.0,1.0,0.0,2,34,2,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar,"nuscenes,robotcar",,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,content-only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,sentence-to-chunk,baseline,1000,150,50,50,16,998,1.0,1.0,1.0,0.0,2,34,2,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar,"nuscenes,robotcar",,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,content-only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,sentence-to-chunk,baseline,1500,150,50,50,22,1493,1.0,1.0,1.0,0.0,2,34,2,,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar,"nuscenes,robotcar",,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,content-only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,proposition-to-chunk,baseline,500,150,50,50,8,491,1.0,1.0,1.0,1.0,1,4,1,4,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar,,
