run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_04275f8062cd,sage_semantic_paragraph_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,1500,50,1499,50,22,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_04275f8062cd.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_05eb7341abfd,sage_semantic_paragraph_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,300,50,255,50,4,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_05eb7341abfd.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_0eb0dc41dd21,sage_semantic_paragraph_v1_chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,chunk,baseline,1500,50,1497,50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_0eb0dc41dd21.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_15481c166d01,sage_semantic_paragraph_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1500,50,1499,50,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_15481c166d01.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_1cba6687c6ad,sage_semantic_paragraph_v1_chunk_always_clear_depth_contributions,always_clear_depth_contributions,chunk,baseline,1000,50,995,50,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_1cba6687c6ad.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_238de145ffd7,sage_semantic_paragraph_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,500,50,496,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_238de145ffd7.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_338fbaeb70ff,sage_semantic_paragraph_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,500,50,482,50,7,0.0,0.0,0.0,0.3333333333333333,0.0,0.02,0.0,0.0,,"adids,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_338fbaeb70ff.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_414078a27b24,sage_semantic_paragraph_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,300,50,300,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_414078a27b24.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_474358467eb5,sage_semantic_paragraph_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,300,50,300,50,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_474358467eb5.json
sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_635e4a296c77,sage_semantic_paragraph_v1_chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,chunk,baseline,500,50,496,50,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\sage_semantic_paragraph_v1_chunk_always_clear_de_ask_baseline_none_635e4a296c77.json
