run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_174f2bf75ba2,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition-to-chunk,baseline,500,50,497,50,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_174f2bf75ba2.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_38f429ac9b9f,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_contributions,always_clear_depth_contributions,proposition-to-chunk,baseline,500,50,485,50,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_38f429ac9b9f.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_398583c8a129,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition-to-chunk,baseline,500,50,499,50,7,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.08,0.14285714285714285,0.0,,"adids,md4all_dd,monodepth2,packnet_sfm,rnw",monodepth2,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_398583c8a129.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_3aea56227569,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,1000,50,982,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_3aea56227569.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_5c20fa5e88c4,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,500,50,474,50,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_5c20fa5e88c4.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_647c386b1650,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition-to-chunk,baseline,1500,50,1496,50,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_647c386b1650.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_7b16d529e972,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_contributions,always_clear_depth_contributions,proposition-to-chunk,baseline,1000,50,982,50,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_7b16d529e972.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_7d68f070ed65,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition-to-chunk,baseline,1000,50,1000,50,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_7d68f070ed65.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_a42076184f76,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition-to-chunk,baseline,1000,50,981,50,15,1.0,0.4444444444444444,0.6153846153846153,0.5555555555555556,0.4444444444444444,0.08,0.13333333333333333,0.6273033795969576,"md4all_dd,monodepth2,packnet_sfm,rnw","adids,md4all_dd,monodepth2,packnet_sfm,rnw","md4all_dd,monodepth2,packnet_sfm,rnw",E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_a42076184f76.json
qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_a76c60b13aa8,qa_chunkaware_dedup_v1_proposition-to-chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition-to-chunk,baseline,1500,50,1477,50,22,1.0,0.4444444444444444,0.6153846153846153,0.5555555555555556,0.4444444444444444,0.08,0.13636363636363635,0.41664496640799953,"md4all_dd,monodepth2,packnet_sfm,rnw","adids,md4all_dd,monodepth2,packnet_sfm,rnw","md4all_dd,monodepth2,packnet_sfm,rnw",E:\PycharmProject\ResearchAgent\experiments\runs\qa_chunkaware_dedup_v1_proposition-to-chunk_alwa_ask_baseline_none_a76c60b13aa8.json
